ID	CURIS	CORPUS_NAME	TERMS QUERY
160	obo.MONDO_0001125	acute gonococcal epididymo-orchitis	"gonococcal epididymo-orchitis (acute)" | "gonococcal epididymo-orchitis, acute"	
161	obo.MONDO_0001137	Murray valley encephalitis	"Australian X disease" | "Australian encephalitis" | "Murray Valley encephalitis virus caused disease or disorder" | "Murray Valley encephalitis virus disease or disorder" | "Murray Valley encephalitis virus infectious disease"	Murray valley encephalitis OR Australian X disease OR Australian encephalitis
162	obo.MONDO_0001154	Siberian tick typhus	"Manchurian typhus" | "North Asian tick fever" | "North Asian tick fever" | "North Asian tick typhus" | "Rickettsia sibirica spotted fever"	Siberian tick typhus OR North Asian tick typhus
163	obo.MONDO_0001190	Brucella suis brucellosis	"Brucella suis caused disease or disorder" | "Brucella suis disease or disorder" | "Brucella suis infectious disease"	
164	obo.MONDO_0005683	brucellosis	"Maltese fever" | "undulant fever"	brucellosis OR undulant fever
165	obo.MONDO_0001191	hirudiniasis	"Hirudinea caused disease or disorder" | "Hirudinea disease or disorder" | "Hirudinea infectious disease" | "leeches"	hirudiniasis OR leeches
166	obo.MONDO_0002875	parasitic ectoparasitic infectious disease	ectoparasitism	ectoparasitism
167	obo.MONDO_0006927	Rickettsiaceae infectious disease	"Rickettsiaceae caused disease or disorder" | "Rickettsiaceae disease or disorder"	
168	obo.MONDO_0001209	common wart	"common wart" | "verruca vulgaris"	common wart OR common wart OR verruca vulgaris
169	obo.MONDO_0001215	allescheriosis	Petriellidosis	allescheriosis OR Petriellidosis
170	obo.MONDO_0001217	pseudomembranous conjunctivitis	conjunctivitis with pseudomembrane	pseudomembranous conjunctivitis
171	obo.MONDO_0006668	bacterial conjunctivitis	"Bacteria caused conjunctival disease" | "Bacteria conjunctival disease" | "purulent conjunctivitis"	bacterial conjunctivitis OR purulent conjunctivitis
172	obo.MONDO_0001249	trachoma	"active stage trachoma" | "trachoma dubium"	trachoma OR trachoma dubium
173	obo.MONDO_0005701	chlamydia trachomatis infectious disease	"Chlamydia trachomatis caused disease or disorder" | "Chlamydia trachomatis disease or disorder" | "Chlamydia trachomatis infectious disease" | "Chlamydial infection" | "chlamydia trachomatis infectious disease" | "chlamydial disease"	Chlamydial infection OR chlamydial disease
174	obo.MONDO_0001260	cercarial dermatitis	"Sea bather's eruption" | "cutaneous schistosomiasis" | "duck Itch" | "lake Itch"	cercarial dermatitis OR Sea bather's eruption OR cutaneous schistosomiasis OR duck Itch
175	obo.MONDO_0015254	schistosomiasis	"Bilharzia" | "bilharziasis" | "schistosomiasis" | "snail fever"	schistosomiasis OR Bilharzia OR bilharziasis OR schistosomiasis OR snail fever
176	obo.MONDO_0021201	skin infection	skin infection	skin infection OR skin infection
177	obo.MONDO_0024610	parasitic skin disorder	parasitic skin disease	parasitic skin disorder OR parasitic skin disease
178	obo.MONDO_0001262	African histoplasmosis	"African histoplasmosis" | "Histoplasma capsulatum var. duboisii caused disease or disorder" | "Histoplasma capsulatum var. duboisii disease or disorder" | "Histoplasma capsulatum var. duboisii infectious disease"	African histoplasmosis OR African histoplasmosis
179	obo.MONDO_0002099	Histoplasma capsulatum infectious disease	"Histoplasma capsulatum caused disease or disorder" | "Histoplasma capsulatum disease or disorder" | "infection by Histoplasma capsulatum"	infection by Histoplasma capsulatum
180	obo.MONDO_0001263	histoplasmosis retinitis	"Histoplasma capsulatum caused retinitis" | "Histoplasma capsulatum retinitis" | "histoplasmosis with retinitis"	histoplasmosis retinitis OR histoplasmosis with retinitis
181	obo.MONDO_0020944	fungal infection of eye	fungal infection of eye	
182	obo.MONDO_0021680	streptococcal infection	"Streptococcus caused disease or disorder" | "Streptococcus disease or disorder" | "Streptococcus infectious disease" | "streptococcal infection"	streptococcal infection OR streptococcal infection
183	obo.MONDO_0023865	corneal infection	"corneal infection" | "infection of cornea" | "infective keratitis" | "keratitis caused by infection"	corneal infection OR corneal infection OR infection of cornea OR infective keratitis
184	obo.MONDO_0001316	streptococcal meningitis	"Streptococcus caused infectious meningitis" | "Streptococcus infectious meningitis"	streptococcal meningitis
185	obo.MONDO_0001353	Bordetella parapertussis infectious disease	"Bordetella parapertussis caused disease or disorder" | "Bordetella parapertussis disease or disorder" | "infection due to Bordetella parapertussis"	infection due to Bordetella parapertussis
186	obo.MONDO_0037872	bordetellosis	"Bordetella caused disease or disorder" | "Bordetella disease or disorder" | "Bordetella infectious disease" | "bordetellosis"	bordetellosis OR bordetellosis
187	obo.MONDO_0005077	pertussis	"Bordetella pertussis caused disease or disorder" | "Bordetella pertussis disease or disorder" | "Bordetella pertussis infection" | "Bordetella pertussis infectious disease" | "WC - whooping cough" | "pertussis" | "whooping cough"	pertussis OR Bordetella pertussis infection OR pertussis OR whooping cough
188	obo.MONDO_0001391	indeterminate leprosy	"indeterminate leprosy [group I]" | "uncharacteristic leprosy"	indeterminate leprosy
189	obo.MONDO_0005124	leprosy	"Hansen disease" | "Hansen's disease" | "Mycobacterium leprae caused disease or disorder" | "Mycobacterium leprae disease or disorder" | "Mycobacterium leprae infectious disease"	leprosy OR Hansen disease OR Hansen's disease
190	obo.MONDO_0001405	dermatophytosis of groin and perianal area	"Dhobie itch" | "dermatophytosis of groin & perianal area" | "dermatophytosis of groin and perianal area"	
191	obo.MONDO_0001444	Chagas disease	"Chagas disease" | "Chagas' disease" | "Chagas' disease with digestive system involvement" | "Chagas' disease with nervous system involvement" | "Chagas' disease with other organ involvement" | "Trypanosoma cruzi caused disease or disorder" | "Trypanosoma cruzi disease or disorder" | "Trypanosoma cruzi infectious disease" | "infection by trypanosoma cruzi"	Chagas disease OR Chagas disease OR Chagas' disease OR infection by trypanosoma cruzi
192	obo.MONDO_0001449	lymphocytic choriomeningitis	"lymphocytic choriomeningitis mammarenavirus caused infectious meningitis" | "lymphocytic choriomeningitis mammarenavirus infectious meningitis" | "lymphocytic choriomeningitis virus encephalomyelitis" | "lymphocytic meningitis" | "lymphocytic meningoencephalitis"	lymphocytic choriomeningitis OR lymphocytic meningitis OR lymphocytic meningoencephalitis
193	obo.MONDO_0024318	viral infection of central nervous system	viral infection of central nervous system	viral infection of central nervous system OR viral infection of central nervous system
194	obo.MONDO_0001471	histoplasmosis meningitis	"Histoplasma capsulatum caused infectious meningitis" | "Histoplasma capsulatum infectious meningitis" | "histoplasmosis with meningitis"	histoplasmosis meningitis
195	obo.MONDO_0006764	fungal meningitis	"Fungi caused infectious meningitis" | "Fungi infectious meningitis"	fungal meningitis
196	obo.MONDO_0001479	cutaneous diphtheria	cutaneous diphtheria	cutaneous diphtheria OR cutaneous diphtheria
197	obo.MONDO_0001507	viral labyrinthitis	"Viruses caused labyrinthitis" | "Viruses labyrinthitis" | "epidemic vertigo" | "epidemic vertigo (finding)"	viral labyrinthitis OR epidemic vertigo
198	obo.MONDO_0021666	ear infection	"Ear infection" | "otitis"	ear infection OR Ear infection OR otitis
199	obo.MONDO_0001532	capillariasis	Capillaria infection	capillariasis OR Capillaria infection
200	obo.MONDO_0004779	epididymitis	"epididymal" | "epididymis" | "epididymitis" | "epididymitis (disease)"	epididymitis OR epididymal OR epididymis OR epididymitis
201	obo.MONDO_0006845	male genital tuberculosis	"male genital tuberculosis" | "male reproductive system tuberculosis"	male genital tuberculosis OR male genital tuberculosis
202	obo.MONDO_0001575	chronic gonococcal salpingitis	gonococcal salpingitis, chronic	
203	obo.MONDO_0021159	gonococcal salpingitis	"Neisseria gonorrhoeae caused salpingitis" | "Neisseria gonorrhoeae salpingitis"	gonococcal salpingitis
204	obo.MONDO_0001577	respiratory syncytial virus infectious disease	"Human respiratory syncytial virus infection" | "respiratory syncytial virus infection"	Human respiratory syncytial virus infection OR respiratory syncytial virus infection
205	obo.MONDO_0005856	Mononegavirales infectious disease	"Mononegavirales caused disease or disorder" | "Mononegavirales disease or disorder"	
206	obo.MONDO_0024352	viral respiratory tract infection	viral respiratory tract infection	viral respiratory tract infection OR viral respiratory tract infection
207	obo.MONDO_0001601	Plasmodium ovale malaria	"Malariaby Plasmodium ovale" | "ovale malaria"	Plasmodium ovale malaria OR ovale malaria
208	obo.MONDO_0001615	epidemic keratoconjunctivitis	shipyard eye	epidemic keratoconjunctivitis OR shipyard eye
209	obo.MONDO_0043479	adenoviridae infectious disease	"Adenoviridae caused disease or disorder" | "Adenoviridae disease or disorder" | "Adenoviridae infectious disease" | "adenoviridae infectious disease" | "adenovirus infection" | "disease due to adenovirus"	adenovirus infection OR disease due to adenovirus
210	obo.MONDO_0043541	viral conjunctivitis	"Viruses caused conjunctivitis" | "Viruses conjunctivitis" | "viral conjunctivitis"	viral conjunctivitis OR viral conjunctivitis
211	obo.MONDO_0001616	lobomycosis	"cutaneous lobomycosis" | "infection by Loboa loboi"	lobomycosis OR cutaneous lobomycosis
212	obo.MONDO_0001620	louse-borne relapsing fever	Relapsing fever, louse-borne	louse-borne relapsing fever
213	obo.MONDO_0001621	tick-borne relapsing fever	Relapsing fever, tick-borne	tick-borne relapsing fever
214	obo.MONDO_0006956	Rickettsiosis	"Rickettsia caused disease or disorder" | "Rickettsia disease or disorder" | "Rickettsia infection" | "Rickettsia infectious disease" | "Rickettsiae disease" | "Rickettsial disease" | "Rickettsial infectious disease" | "Rickettsial infectious disorder" | "Rickettsiosis" | "infection, Rickettsia" | "infections, Rickettsia"	Rickettsiosis OR Rickettsia infection OR Rickettsial disease OR Rickettsial infectious disease OR Rickettsiosis OR ("infection" AND " Rickettsia") OR ("infections" AND " Rickettsia")
215	obo.MONDO_0001628	tinea unguium	"cellulitis and abscess of buttock" | "cellulitis and abscess of face" | "cellulitis and abscess of finger" | "cellulitis and abscess of finger and toe" | "cellulitis and abscess of gluteal region" | "cellulitis and abscess of trunk" | "cellulitis and abscess of upper arm and forearm" | "dermatophytic onychia" | "dermatophytic onychomycosis" | "dermatophytosis of nail" | "nail dermatophytosis" | "onychomycosis" | "onychomycosis due to dermatophyte" | "tinea unguium"	tinea unguium OR cellulitis and abscess of finger OR dermatophytic onychia OR dermatophytic onychomycosis OR dermatophytosis of nail OR nail dermatophytosis OR onychomycosis OR onychomycosis due to dermatophyte OR tinea unguium
216	obo.MONDO_0024487	nail infection	nail infection	nail infection OR nail infection
217	obo.MONDO_0001642	hordeolum externum	external stye	hordeolum externum
218	obo.MONDO_0005800	hordeolum	"Stye" | "blepharitis of eyelid gland" | "boil of eyelid" | "eyelid gland blepharitis" | "furuncle of eyelid"	hordeolum
219	obo.MONDO_0001648	esophageal candidiasis	"Candida esophagitis" | "candidal esophagitis" | "candidiasis of the esophagus" | "esophageal moniliasis" | "esophageal thrush"	esophageal candidiasis OR Candida esophagitis OR candidal esophagitis OR candidiasis of the esophagus OR esophageal moniliasis OR esophageal thrush
220	obo.MONDO_0001649	fungal esophagitis	fungal esophagitis	fungal esophagitis OR fungal esophagitis
221	obo.MONDO_0001650	acute cystitis		acute cystitis
222	obo.MONDO_0005247	bacterial urinary tract infection		bacterial urinary tract infection
223	obo.MONDO_0001667	streptobacillus infectious disease	infection caused by streptobacillus	
224	obo.MONDO_0001678	intestinal tuberculosis	"intestine tuberculosis" | "tuberculosis of intestine"	intestinal tuberculosis OR tuberculosis of intestine
225	obo.MONDO_0005768	gastrointestinal tuberculosis	"tuberculosis of gastrointestinal tract" | "tuberculosis of intestines, peritoneum and mesenteric glands" | "tuberculosis of intestines, peritoneum, and mesenteric glands"	gastrointestinal tuberculosis OR tuberculosis of gastrointestinal tract
226	obo.MONDO_0001698	tinea profunda	granuloma trichophyticum	tinea profunda OR granuloma trichophyticum
227	obo.MONDO_0001699	tinea manuum	"Tinea manus" | "dermatophytosis of hand" | "dermatophytosis of manus" | "manus dermatophytosis"	tinea manuum OR Tinea manus
228	obo.MONDO_0001714	bejel	"Njovera" | "Treponema pallidum subsp. endemicum caused disease or disorder" | "Treponema pallidum subsp. endemicum disease or disorder" | "Treponema pallidum subsp. endemicum infectious disease" | "nonvenereal endemic syphilis"	Njovera
229	obo.MONDO_0005976	syphilis	"Treponema pallidum caused disease or disorder" | "Treponema pallidum disease or disorder" | "Treponema pallidum infectious disease" | "syphilitic chancre"	syphilis OR syphilitic chancre
230	obo.MONDO_0001719	gonococcal bursitis	"Neisseria gonorrhoeae bursitis" | "Neisseria gonorrhoeae caused bursitis"	
231	obo.MONDO_0001720	gonococcal synovitis	"gonococcal synovitis &/or tenosynovitis" | "gonococcal synovitis and tenosynovitis" | "gonococcal synovitis or tenosynovitis"	
232	obo.MONDO_0041903	gonococcal infection of joint	gonococcal infection of joint	
233	obo.MONDO_0001737	tetanus neonatorum	neonatal tetanus	tetanus neonatorum OR neonatal tetanus
234	obo.MONDO_0005526	tetanus	"Clostridium tetani caused infectious disease of the nervous system" | "Clostridium tetani infectious disease of the nervous system" | "clostridial tetanus" | "infection due to Clostridium tetani"	tetanus OR clostridial tetanus
235	obo.MONDO_0001777	acute gonococcal cystitis	"acute gonorrhea of bladder" | "gonococcal cystitis (acute)" | "gonococcal cystitis, acute"	
236	obo.MONDO_0021160	gonococcal cystitis	"Neisseria gonorrhoeae caused cystitis" | "Neisseria gonorrhoeae cystitis"	gonococcal cystitis
237	obo.MONDO_0001791	neonatal urinary tract infectious disease	urinary tract infection of newborn	
238	obo.MONDO_0001794	Pthirus pubis infestation	"Pediculus pubis" | "Phthirus pubis" | "Phthirus pubis [pubic louse]" | "Phthirus/pediculus pubis - pubic lice - crabs" | "Phthirus/pediculus pubis - pubic lice - crabs (& infestation)" | "Pthirus pubis infection" | "crabs" | "infestation by Phthirus pubis" | "pediculosis pubis" | "phthiriasis" | "phthiriasis pubis"	Pthirus pubis infestation OR Pediculus pubis OR Phthirus pubis OR pubic louse OR infestation by Phthirus pubis OR pediculosis pubis OR phthiriasis OR phthiriasis pubis
239	obo.MONDO_0003472	lice infestation	"Pediculus humanus infection" | "infestation by Pediculus" | "louse infestation" | "louse infestation (& [pediculosis and Phthirus] or [lice])" | "mixed pediculosis" | "mixed pediculosis infestation" | "pediculosis" | "pediculosis + lice" | "pediculosis and Phthirus infection" | "pediculosis and Phthirus infections" | "pediculosis and Phthirus infestation" | "pediculosis, unspecified"	lice infestation OR infestation by Pediculus OR louse infestation OR pediculosis
240	obo.MONDO_0001795	plantar wart	"plantar wart" | "verruca plantaris"	plantar wart OR plantar wart OR verruca plantaris
241	obo.MONDO_0001797	chancroid	Ulcus molle, skin	chancroid
242	obo.MONDO_0001812	parasitic eyelid infestation	"parasitic eyelid infestation" | "parasitic infestation of eyelid"	
243	obo.MONDO_0020947	parasitic eye infection	parasitic eye infection	parasitic eye infection OR parasitic eye infection
244	obo.MONDO_0001827	white piedra	Tinea blanca	white piedra
245	obo.MONDO_0001832	bacterial esophagitis	bacterial esophagitis	bacterial esophagitis OR bacterial esophagitis
246	obo.MONDO_0001837	acute gonococcal salpingitis	"gonococcal salpingitis, acute" | "gonococcal salpingitis, specified as acute"	acute gonococcal salpingitis
247	obo.MONDO_0001838	acute gonococcal prostatitis		
248	obo.MONDO_0021161	gonococcal prostatitis	"Neisseria gonorrhoeae caused prostatitis" | "Neisseria gonorrhoeae prostatitis"	gonococcal prostatitis
249	obo.MONDO_0001867	phaeohyphomycosis	"infection by dematiacious fungi" | "infection by dematiacious fungi [Phaehyphomycosis]" | "phaehyphomycosis"	phaeohyphomycosis OR phaehyphomycosis
250	obo.MONDO_0044083	alternariosis	cutaneous alternariosis	alternariosis OR cutaneous alternariosis
251	obo.MONDO_0001881	toxic shock syndrome	"bacterial TSS" | "bacterial toxic-shock syndrome" | "toxic shock"	toxic shock syndrome OR bacterial TSS OR toxic shock
252	obo.MONDO_0001916	gastrointestinal tularemia	"enteric tularemia" | "intestinal tularaemia"	gastrointestinal tularemia
253	obo.MONDO_0001917	chronic perichondritis of pinna	"chronic perichondritis of auricle" | "chronic pinna perichondritis"	
254	obo.MONDO_0002246	perichondritis of auricle	"perichondritis and chondritis of pinna" | "perichondritis of pinna"	perichondritis of auricle
255	obo.MONDO_0001922	pyoureter	ureter abscess	pyoureter
256	obo.MONDO_0100338	urinary tract infection		urinary tract infection
257	obo.MONDO_0001943	Plasmodium malariae malaria	"malaria by Plasmodium malariae" | "quartan malaria"	Plasmodium malariae malaria OR quartan malaria
258	obo.MONDO_0001944	mixed malaria	"malaria by more than one parasite" | "malaria fever by more than one parasite"	mixed malaria
259	obo.MONDO_0001951	Norwegian scabies	crusted scabies	Norwegian scabies OR crusted scabies
260	obo.MONDO_0004525	scabies	"Sarcoptes scabiei caused disease or disorder" | "Sarcoptes scabiei disease or disorder" | "Sarcoptes scabiei infectious disease" | "infestation by Sarcoptes scabiei" | "infestation by Sarcoptes scabiei var hominis" | "sarcoptic itch"	scabies OR infestation by Sarcoptes scabiei OR infestation by Sarcoptes scabiei var hominis
261	obo.MONDO_0001984	candidal paronychia	"candidiasis of skin" | "candidiasis of skin and nails"	candidal paronychia OR candidiasis of skin
262	obo.MONDO_0002000	anaerobic meningitis	"meningitis caused by anaerobic bacteria" | "meningitis due to anaerobic bacteria"	anaerobic meningitis
263	obo.MONDO_0024389	anaerobic bacteria infectious disease	"anaerobic bacterial infection" | "infection caused by anaerobic bacteria" | "infection due to anaerobic bacteria"	anaerobic bacterial infection OR infection due to anaerobic bacteria
264	obo.MONDO_0002812	infectious otitis interna	"infectious labyrinthitis" | "infectious otitis interna" | "inner Ear infection" | "inner ear infection" | "internal Ear infection"	infectious labyrinthitis OR inner Ear infection OR inner ear infection
265	obo.MONDO_0002029	chronic gonorrhea of cervix	"chronic gonococcal cervicitis" | "gonococcal cervicitis, chronic"	
266	obo.MONDO_0002154	trichomoniasis	Trichomonas infection	trichomoniasis OR Trichomonas infection
267	obo.MONDO_0002212	pneumonic tularemia	"bronchopneumonic tularemia" | "pneumonic tularaemia" | "pulmonary tularemia"	pneumonic tularemia OR pneumonic tularaemia OR pulmonary tularemia
268	obo.MONDO_0002240	acute perichondritis of pinna	"acute perichondritis of auricle" | "perichondritis of auricle, acute"	
269	obo.MONDO_0002266	malt worker's lung	"Aspergillus caused extrinsic allergic alveolitis" | "Aspergillus extrinsic allergic alveolitis" | "Malt workers' lung" | "Malt-workers' lung" | "malt worker lung" | "malt workers lung"	malt worker's lung OR Malt workers' lung OR Malt-workers' lung OR malt workers lung
270	obo.MONDO_0015243	allergic bronchopulmonary aspergillosis	"Hinson-Pepys disease" | "allergic aspergillosis" | "pulmonary aspergillus disease"	allergic bronchopulmonary aspergillosis OR allergic aspergillosis OR pulmonary aspergillus disease
271	obo.MONDO_0002270	viral gastritis	"Viruses caused gastritis (disease)" | "Viruses gastritis (disease)" | "viral gastritis"	viral gastritis OR viral gastritis
272	obo.MONDO_0002282	West Nile fever	"West Nile virus caused disease or disorder" | "West Nile virus disease or disorder" | "West Nile virus infectious disease"	West Nile fever
273	obo.MONDO_0002333	splenic abscess	"splenic abscess" | "splenic abscess (disease)"	splenic abscess OR splenic abscess
274	obo.MONDO_0002429	idiopathic interstitial pneumonia	"IIp" | "diffuse idiopathic pulmonary fibrosis" | "idiopathic fibrosing alveolitis" | "idiopathic interstitial pneumonitis" | "noninfectious pneumonia"	idiopathic interstitial pneumonia OR diffuse idiopathic pulmonary fibrosis OR idiopathic fibrosing alveolitis OR idiopathic interstitial pneumonitis OR noninfectious pneumonia
275	obo.MONDO_0002594	monkeypox	Monkeypox virus infection	monkeypox OR Monkeypox virus infection
276	obo.MONDO_0002646	viral laryngitis	"Viruses caused laryngitis" | "Viruses laryngitis"	viral laryngitis
277	obo.MONDO_0005429	prion disease	"prion disease pathway" | "prion induced disorder" | "prion protein disease" | "spongiform encephalopathy"	prion disease OR prion protein disease OR spongiform encephalopathy
278	obo.MONDO_0002842	bacterial gastritis	"Bacteria caused gastritis (disease)" | "Bacteria gastritis (disease)" | "bacterial gastritis"	bacterial gastritis OR bacterial gastritis
279	obo.MONDO_0002843	fungal gastritis	"Fungi caused gastritis (disease)" | "Fungi gastritis (disease)" | "fungal gastritis"	fungal gastritis OR fungal gastritis
280	obo.MONDO_0002896	primary syphilis	"early symptomatic syphilis" | "early syphilis, symptomatic" | "symptomatic early syphilis"	primary syphilis OR early symptomatic syphilis OR symptomatic early syphilis
281	obo.MONDO_0002897	secondary syphilis	secondary syphilis of viscera or bone	secondary syphilis
282	obo.MONDO_0002967	dermatophytosis of scalp or beard	"Trichophyton rubrum tinea capitis" | "dermatophytosis of scalp and beard" | "scalp dermatophytosis" | "scalp ringworm" | "tinea capitis due to Trichophyton rubrum"	Trichophyton rubrum tinea capitis OR dermatophytosis of scalp and beard OR scalp ringworm
283	obo.MONDO_0003336	acute necrotizing encephalitis	acute necrotizing encephalitis	acute necrotizing encephalitis OR acute necrotizing encephalitis
284	obo.MONDO_0003337	acute hemorrhagic encephalitis	acute hemorrhagic encephalitis	acute hemorrhagic encephalitis OR acute hemorrhagic encephalitis
285	obo.MONDO_0003471	Pediculus humanus capitis infestation	"Pediculus capitis" | "Pediculus capitis [head louse]" | "Pediculus capitis infestation" | "Pediculus humanus capitis infection" | "head louse infestation" | "pediculosis capitis"	Pediculus humanus capitis infestation OR Pediculus capitis OR Pediculus capitis infestation OR head louse infestation OR pediculosis capitis
286	obo.MONDO_0003482	Pediculus humanus corporis infestation	"Pediculus corporis" | "Pediculus corporis [body louse]" | "Pediculus humanus corporis infection" | "Pediculus humanus infestation" | "body louse infestation"	Pediculus corporis OR Pediculus humanus infestation OR body louse infestation
287	obo.MONDO_0003529	acute pyelonephritis	pyelonephritis, acute	acute pyelonephritis OR ("pyelonephritis" AND " acute")
288	obo.MONDO_0003769	herpetic gastritis	"Herpesviridae caused viral gastritis" | "Herpesviridae viral gastritis"	herpetic gastritis
289	obo.MONDO_0005794	Herpesviridae infectious disease	"Herpesviridae caused disease or disorder" | "Herpesviridae disease or disorder" | "Herpesviridae infections" | "herpesvirus infection"	Herpesviridae infections OR herpesvirus infection
290	obo.MONDO_0003796	rectum Kaposi sarcoma	"Kaposi's sarcoma (disease) of rectum" | "Kaposi's sarcoma of rectum" | "Kaposi's sarcoma of the rectum" | "rectal Kaposi sarcoma" | "rectal Kaposi's sarcoma" | "rectum Kaposi sarcoma" | "rectum Kaposi's sarcoma (disease)"	Kaposi's sarcoma of the rectum OR rectal Kaposi's sarcoma
291	obo.MONDO_0005055	Kaposi's sarcoma	"KS" | "Kaposi sarcoma" | "Kaposi's sarcoma" | "Kaposi's sarcoma (disease)" | "Kaposi's sarcoma of conjunctiva" | "Kaposi's sarcoma of cornea" | "Kaposi's sarcoma of lung" | "Kaposi's sarcoma of palate" | "Kaposi's sarcoma of soft tissue" | "Kaposi's sarcoma of soft tissues"	Kaposi's sarcoma OR Kaposi sarcoma OR Kaposi's sarcoma
292	obo.MONDO_0024659	colorectal Kaposi sarcoma	"Kaposi's sarcoma (disease) of large intestine" | "colorectal Kaposi sarcoma" | "large intestinal Kaposi sarcoma" | "large intestine Kaposi's sarcoma (disease)"	colorectal AND Kaposi sarcoma
293	obo.MONDO_0003846	viral esophagitis	"Viruses caused esophagitis (disease)" | "Viruses esophagitis (disease)" | "viral esophagitis"	viral esophagitis OR viral esophagitis
294	obo.MONDO_0003997	colon Kaposi sarcoma	"Kaposi's sarcoma (disease) of colon" | "Kaposi's sarcoma of colon" | "Kaposi's sarcoma of the colon" | "colon Kaposi sarcoma" | "colon Kaposi's sarcoma" | "colon Kaposi's sarcoma (disease)" | "colon Kaposis sarcoma" | "colonic Kaposi sarcoma" | "colonic Kaposi's sarcoma" | "colonic Kaposis sarcoma"	Kaposi's sarcoma of the colon OR colonic Kaposi's sarcoma
295	obo.MONDO_0004131	anal verrucous carcinoma	"anal Buschke-Lowenstein tumor" | "anal giant (malignant) condyloma" | "anal verrucous carcinoma"	anal verrucous carcinoma OR anal Buschke-Lowenstein tumor OR anal verrucous carcinoma
296	obo.MONDO_0027026	Buschke Lowenstein tumor	Buschke Lowenstein tumor	Buschke Lowenstein tumor OR Buschke Lowenstein tumor
297	obo.MONDO_0004189	esophageal tuberculosis	"esophagus tuberculosis" | "tuberculosis of esophagus"	esophageal tuberculosis OR esophagus tuberculosis OR tuberculosis of esophagus
298	obo.MONDO_0004272	urinary bladder tuberculosis	"bladder tuberculous" | "tuberculosis of bladder" | "tuberculosis of bladder, unspecified examination" | "tuberculous cystitis" | "urinary bladder tuberculosis"	urinary bladder tuberculosis OR tuberculosis of bladder OR tuberculous cystitis OR urinary bladder tuberculosis
299	obo.MONDO_0004471	bacterial arthritis	"pyogenic arthritis" | "septic arthritis"	bacterial arthritis OR pyogenic arthritis OR septic arthritis
300	obo.MONDO_0042485	infective arthritis	infective arthritis	infective arthritis OR infective arthritis
301	obo.MONDO_0004517	ureter tuberculosis	"tuberculosis of ureter" | "ureter tuberculosis"	ureter tuberculosis OR tuberculosis of ureter OR ureter tuberculosis
302	obo.MONDO_0004549	cork-handlers' disease	"Suberosis" | "cork worker's lung" | "cork workers lung" | "cork-handlers' disease or lung" | "cork-handlers' lung"	Suberosis
303	obo.MONDO_0004584	maple bark strippers' lung	"alveolitis due to cryptostroma corticale" | "maple bark disease" | "maple bark stripper's disease" | "maple bark stripper's lung" | "maple bark-strippers' lung" | "maple-bark strippers' lung"	maple bark strippers' lung OR maple bark disease OR maple bark-strippers' lung OR maple-bark strippers' lung
304	obo.MONDO_0004609	herpes simplex infectious disease	"Herpesvirus hominis disease" | "Simplexvirus caused disease or disorder" | "Simplexvirus disease or disorder" | "Simplexvirus infectious disease"	herpes simplex
305	obo.MONDO_0004616	herpetic whitlow	"Simplexvirus caused paronychia (disease)" | "Simplexvirus paronychia (disease)" | "herpetic felon"	herpetic whitlow
306	obo.MONDO_0004619	measles	"Measles morbillivirus caused disease or disorder" | "Measles morbillivirus disease or disorder" | "Measles morbillivirus infectious disease" | "morbilli" | "rubeola infection"	measles OR morbilli OR rubeola infection
307	obo.MONDO_0005857	morbillivirus infectious disease	"Morbillivirus caused disease or disorder" | "Morbillivirus disease or disorder" | "Morbillivirus infectious disease"	morbillivirus AND disease
308	obo.MONDO_0004649	anaerobic pneumonia	"pneumonia due to anaerobes" | "pneumonia due to anaerobic bacteria"	anaerobic pneumonia
309	obo.MONDO_0004652	bacterial pneumonia	"Bacteria caused pneumonia" | "Bacteria pneumonia" | "gram-negative pneumonia" | "pneumonia due to other gram-negative bacteria"	bacterial pneumonia OR Bacteria pneumonia OR gram-negative pneumonia
310	obo.MONDO_0004656	rubella	"Rubella infection" | "Rubella virus caused disease or disorder" | "Rubella virus disease or disorder" | "Rubella virus infectious disease" | "german measles" | "three-Day Measles"	rubella OR Rubella infection OR german measles OR three-Day Measles
311	obo.MONDO_0004662	heterophyiasis	"Heterophyes infection" | "Heterophyes infectious disease"	heterophyiasis
312	obo.MONDO_0004666	metagonimiasis	"Metagonimus yokogawai infection" | "infection by Metagonimus yokogawai"	metagonimiasis OR Metagonimus yokogawai infection
313	obo.MONDO_0004668	fascioliasis	"Fasciolosis" | "fasciola hepatica infection" | "infection by fasciola" | "liver flukes" | "sheep liver fluke infection"	fascioliasis OR Fasciolosis OR fasciola hepatica infection OR infection by fasciola OR liver flukes
314	obo.MONDO_0004672	fasciolopsiasis	"infection by Fasciolopsis buski" | "infectious disease by Fasciolopsis"	fasciolopsiasis
315	obo.MONDO_0004677	tinea nigra	"Tinea palmaris nigra" | "infection by Cladosporium werneckii" | "keratomycosis nigricans"	tinea nigra
316	obo.MONDO_0004712	herpes simplex dermatitis	"Herpes simplex dermatitis" | "Herpes simplex virus dermatitis" | "Simplexvirus caused dermatitis" | "Simplexvirus dermatitis" | "eczema herpeticum (disorder) [ambiguous]" | "herpes simplex dermatitis"	herpes simplex dermatitis OR Herpes simplex dermatitis OR herpes simplex dermatitis
