doi	paper_type	citation	is_methods_paper	explanation
doi:10.1016/j.celrep.2022.111358	ScientificPrimaryResearchArticle	Mondal C, Gacha-Garay MJ, Larkin KA, Adikes RC, Di Martino JS, Chien CC, Fraser M, Eni-Aganga I, Agullo-Pascual E, Cialowicz K, Ozbek U, Naba A, Gaitas A, Fu TM, Upadhyayula S, Betzig E, Matus DQ, Martin BL, Bravo-Cordero JJ. (2022) A proliferative to invasive switch is mediated by srGAP1 downregulation through the activation of TGF-β2 signaling.	False	The main goal of the paper is to investigate the role of srGAP1 in the proliferative-to-invasive switch in breast cancer cells, along with the underlying mechanisms involving TGF-β2 signaling. There is no indication that the paper focuses on developing new technology or methods.
doi:10.48550/arxiv.2208.13854	ScientificPrimaryResearchArticle	Djutanta, Franky et al. (2022) Microscopic motility of isolated E. coli flagella	False	The main goal of the paper is to investigate the microscopic motility of isolated E. coli flagella by studying their hydrodynamic propulsion matrix and efficiency, rather than developing new technology or methods.
doi:10.1101/2022.08.25.505332	ScientificPrimaryResearchPreprint	Okur MN, Kimura R, Sahbaz BD, Manor U, Patel J, Andrade L, Puligilla K, Croteau DL, Bohr VA. (2022) Long-term NAD+ supplementation prevents the progression of age-related hearing loss in mice	False	The main goal of the paper is to investigate the effects of long-term NAD+ supplementation on age-related hearing loss in mice, not to develop a new technology or method. The study aims to understand the biological mechanisms underlying the prevention of age-related hearing loss.
doi:10.15252/embj.2021110398	ScientificPrimaryResearchArticle	Rodgers SJ, Jones EI, Arumugam S, Hamila SA, Danne J, Gurung R, Eramo MJ, Nanayakkara R, Ramm G, McGrath MJ, Mitchell CA. (2022) Endosome maturation links PI3Kα signaling to lysosome repopulation during basal autophagy.	False	The main goal of the paper is to investigate how cells coordinate lysosome repopulation during basal autophagy, rather than developing new technology or methods.
doi:10.1038/s41467-022-32318-9	ScientificPrimaryResearchArticle	Bhadra AK, Rau MJ, Daw JA, Fitzpatrick JAJ, Weihl CC, True HL. (2022) Disease-associated mutations within the yeast DNAJB6 homolog Sis1 slow conformer-specific substrate processing and can be corrected by the modulation of nucleotide exchange factors.	False	The main goal of the paper is to investigate and understand the molecular basis of a disease-associated mutation within the chaperone network, rather than to develop new technology or methods.
doi:10.1161/circulationaha.121.057400	ScientificPrimaryResearchArticle	Kopecky BJ, Dun H, Amrute JM, Lin CY, Bredemeyer AL, Terada Y, Bayguinov PO, Koenig AL, Frye CC, Fitzpatrick JAJ, Kreisel D, Lavine KJ. (2022) Donor Macrophages Modulate Rejection After Heart Transplantation.	False	The main goal of the paper is to investigate how donor macrophages modulate rejection after heart transplantation, rather than developing new technology or methods. The focus is on understanding the biological processes involved in the immune response post-transplantation.
doi:10.1101/2022.07.20.22277868	ScientificPrimaryResearchPreprint	Murray SB, Cabeen RP, Jann K, Tadayonnejad R, Strober M, Feusner JD. (2022) White Matter Microstructure in Habit and Reward Circuits in Anorexia Nervosa: Insights from a Neurite Orientation Dispersion and Density Imaging Study	False	The main goal of the paper is to investigate how white matter microstructure in habit and reward circuits in anorexia nervosa differs from healthy controls using neurite orientation dispersion and density imaging methods. The study aims to understand the biological underpinnings of anorexia nervosa rather than developing new technology or methods.
doi:10.1016/j.isci.2022.104803	ScientificPrimaryResearchArticle	Ramirez MA, Ninoyu Y, Miller C, Andrade LR, Edassery S, Bomba-Warczak E, Ortega B, Manor U, Rutherford MA, Friedman RA, Savas JN. (2022) Cochlear ribbon synapse maturation requires Nlgn1 and Nlgn3.	False	The main goal of the paper is to investigate how Nlgn1 and Nlgn3 are required for cochlear ribbon synapse maturation and function, rather than developing new technology or methods.
doi:10.1126/scitranslmed.abn4819	ScientificPrimaryResearchArticle	Feng J, Zhao Y, Xie Z, Zang K, Sviben S, Hu X, Fitzpatrick JAJ, Wen L, Liu Y, Wang T, Lawson K, Liu Q, Yan Y, Dong X, Han L, Wu GF, Kim BS, Hu H. (2022) Miswiring of Merkel cell and pruriceptive C fiber drives the itch-scratch cycle.	False	The main goal of the paper is to investigate the peripheral mechanisms underlying the itch-scratch cycle, specifically focusing on the miswiring of Merkel cell and pruriceptive C fiber. The authors aimed to understand the pathophysiology of chronic itch rather than developing new technology or methods.
doi:10.1038/s41590-022-01257-4	ScientificPrimaryResearchArticle	Assen FP, Abe J, Hons M, Hauschild R, Shamipour S, Kaufmann WA, Costanzo T, Krens G, Brown M, Ludewig B, Hippenmeyer S, Heisenberg CP, Weninger W, Hannezo E, Luther SA, Stein JV, Sixt M. (2022) Multitier mechanics control stromal adaptations in the swelling lymph node.	False	The main goal of the paper is to investigate how biological systems work, specifically how different fibroblast populations mechanically control lymph node swelling in a multitier fashion.
doi:10.1016/j.clim.2022.109076	ScientificPrimaryResearchArticle	Pfeiffer SEM, Quesada-Masachs E, McArdle S, Zilberman S, Yesildag B, Mikulski Z, von Herrath M. (2022) Effect of IL4 and IL10 on a human in vitro type 1 diabetes model.	False	The main goal of the work is to investigate the effects of IL4 and IL10 on a human in vitro type 1 diabetes model, rather than developing new technology or methods. The paper aims to understand the biological responses in this model.
doi:10.1242/dev.199914	ScientificPrimaryResearchArticle	Romero-Morales AI, Robertson GL, Rastogi A, Rasmussen ML, Temuri H, McElroy GS, Chakrabarty RP, Hsu L, Almonacid PM, Millis BA, Chandel NS, Cartailler JP, Gama V. (2022) Human iPSC-derived cerebral organoids model features of Leigh syndrome and reveal abnormal corticogenesis.	False	The main goal of the paper is to investigate and characterize features of Leigh syndrome using human iPSC-derived cerebral organoids, rather than developing a new technology or method.
doi:10.1101/2022.06.29.498174	ScientificPrimaryResearchPreprint	Jann K, Boudreau J, Albrecht D, Cen SY, Cabeen RP, Ringman JM, Wang DJ, the Alzheimer’s Disease Neuroimaging Initiative. (2022) FMRI complexity correlates with tau-PET in Late-Onset and Autosomal Dominant Alzheimer’s Disease	False	The goal of the paper is to investigate how the complexity of BOLD signals relates to tau-related neuronal injury and cognitive decline in Alzheimer's disease. The methods involve data analysis, correlations, and path analysis to study the relationships between fMRI complexity, tau-PET measures, and cognitive function.
doi:10.1161/atvbaha.122.317111	ScientificPrimaryResearchArticle	Fletcher AJ, Nash J, Syed MBJ, Macaskill MG, Tavares AAS, Walker N, Salcudean H, Leipsic JA, Lim KHH, Madine J, Wallace W, Field M, Newby DE, Bouchareb R, Seidman MA, Akhtar R, Sellers SL. (2022) Microcalcification and Thoracic Aortopathy: A Window Into Disease Severity.	False	The main goal of the paper is to investigate the relationship between microcalcification and thoracic aortopathy, rather than developing new technology or methods.
doi:10.1101/2022.06.07.494932	ScientificPrimaryResearchPreprint	Choi ML, Chappard A, Singh BP, Maclachlan C, Rodrigues M, Fedotova E, Berezhnov AV, De S, Peddie C, Athauda D, Virdi GS, Zhang W, Evans JR, Wernick A, Zanjani ZS, Angelova PR, Esteras N, Vinikurov A, Morris K, Jeacock K, Tosatto L, Little D, Gissen P, Clarke DJ, Kunath T, Collinson L, Klenerman D, Abramov AY, Horrocks MH, Gandhi S. (2022) Structural conversion of α-synuclein at the mitochondria induces neuronal toxicity	False	The paper's goal is to investigate how α-Synuclein converts at the mitochondria and induces neuronal toxicity, rather than developing a new technology or method.
doi:10.1182/blood.2022015807	ScientificPrimaryResearchArticle	Ruben EA, Summers B, Rau MJ, Fitzpatrick JAJ, Di Cera E. (2022) Cryo-EM structure of the prothrombin-prothrombinase complex.	False	The main goal of the paper is to investigate how the prothrombinase complex functions in the coagulation cascade, rather than to develop new technology or methods. The authors aim to understand the molecular interactions involved in the activation of prothrombin to thrombin.
doi:10.3238/arztebl.m2022.0231	ScientificReviewArticle	Jonigk D, Werlein C, Lee PD, Kauczor HU, Länger F, Ackermann M. (2022) Pulmonary and Systemic Pathology in COVID-19—Holistic Pathological Analyses	False	The paper aims to provide background information, describe methods used for analysis, present results, and draw conclusions regarding the pathology of COVID-19. The main goal is to investigate and understand the pathological processes involved in COVID-19 rather than developing new technology or methods.
doi:10.1038/s41598-022-12705-4	ScientificPrimaryResearchArticle	White-Gilbertson S, Lu P, Esobi I, Echesabal-Chen J, Mulholland PJ, Gooz M, Ogretmen B, Stamatikos A, Voelkel-Johnson C. (2022) Polyploid giant cancer cells are dependent on cholesterol for progeny formation through amitotic division.	False	The main goal of the paper is to investigate how biological systems work, specifically focusing on the dependency of polyploid giant cancer cells on cholesterol for progeny formation through amitotic division.
doi:10.7554/elife.78793	ScientificPrimaryResearchArticle	Chrysostomou E, Flici H, Gornik SG, Salinas-Saavedra M, Gahan JM, McMahon ET, Thompson K, Hanley S, Kilcoyne M, Schnitzler CE, Gonzalez P, Baxevanis AD, Frank U. (2022) A cellular and molecular analysis of SoxB-driven neurogenesis in a cnidarian.	False	The main goal of the paper is to investigate the cellular and molecular mechanisms of neurogenesis in a cnidarian, using various techniques and analyses. The paper aims to provide insight into the evolution of neural function, rather than developing new technology or methods.
doi:10.3390/ijms23105773	ScientificPrimaryResearchArticle	Turner DL, Templin RM, Barugahare AA, Russ BE, Turner SJ, Ramm G, Mathias RA. (2022) UL34 Deletion Restricts Human Cytomegalovirus Capsid Formation and Maturation.	False	The main goal of the paper is to investigate the role of the UL34 protein in HCMV capsid formation and maturation, rather than developing new technology or methods.
doi:10.1101/2022.05.09.490051	ScientificPrimaryResearchPreprint	Prakash A, Paunikar S, Webber M, McDermott E, Vellanki SH, Thompson K, Dockery P, Jahns H, Brown JA, Hopkins AM, Bourke E. (2022) “Centrosome Amplification promotes cell invasion via cell-cell contact disruption and Rap-1 activation”	False	The main goal of the paper is to investigate how centrosome amplification promotes cell invasion and tumorigenesis in normal breast epithelial cells. The methods used in the study are aimed at understanding the mechanistic contributions of centrosome amplification to tumorigenesis rather than developing new technology or techniques.
doi:10.1371/journal.ppat.1010494	ScientificPrimaryResearchArticle	Bradley F, Franzén Boger M, Kaldhusdal V, Åhlberg A, Edfeldt G, Lajoie J, Bergström S, Omollo K, Damdimopoulos A, Czarnewski P, Månberg A, Oyugi J, Kimani J, Nilsson P, Fowke K, Tjernlund A, Broliden K. (2022) Multi-omics analysis of the cervical epithelial integrity of women using depot medroxyprogesterone acetate.	False	The main goal of the paper is to investigate how depot medroxyprogesterone acetate affects the cervical epithelial integrity of women, exploring molecular mechanisms and gene expression changes. The methods used include RNA-sequencing, quantitative imaging analysis, and protein level measurements.
doi:10.1016/j.ceca.2022.102595	ScientificReviewArticle	Bastian C, Sampieri A, Benavides MO, Guerrero A, Vaca L. (2022) Super-resolution microscopy for the study of store-operated calcium entry.	False	The main goal of the study is to investigate the relationship between cytoskeleton reorganization and store-operated calcium entry using super-resolution microscopy techniques, not to develop new technology or methods.
doi:10.1158/0008-5472.can-21-3155	ScientificPrimaryResearchArticle	Chakraborty P, Parikh RY, Choi S, Tran D, Gooz M, Hedley ZT, Kim DS, Pytel D, Kang I, Nadig SN, Beeson GC, Ball L, Mehrotra M, Wang H, Berto S, Palanisamy V, Li H, Chatterjee S, Rodriguez PC, Maldonado EN, Diehl JA, Gangaraju VK, Mehrotra S. (2022) Carbon Monoxide Activates PERK-Regulated Autophagy to Induce Immunometabolic Reprogramming and Boost Antitumor T-cell Function.	False	The main goal of the paper is to investigate how carbon monoxide activates PERK-regulated autophagy to induce immunometabolic reprogramming and boost antitumor T-cell function, rather than developing a new technology or method.
doi:10.1093/nar/gkac198	ScientificPrimaryResearchArticle	Budziszewski GR, Zhao Y, Spangler CJ, Kedziora KM, Williams MR, Azzam DN, Skrajna A, Koyama Y, Cesmat AP, Simmons HC, Arteaga EC, Strauss JD, Kireev D, McGinty RK. (2022) Multivalent DNA and nucleosome acidic patch interactions specify VRK1 mitotic localization and activity.	False	The main goal of the paper is to investigate how VRK1 interacts with DNA and nucleosomes to specify its mitotic localization and activity, rather than developing new technology or methods.
doi:10.1017/s0033291722000514	ScientificPrimaryResearchArticle	Murray SB, Alba C, Duval CJ, Nagata JM, Cabeen RP, Lee DJ, Toga AW, Siegel SJ, Jann K. (2022) Aberrant functional connectivity between reward and inhibitory control networks in pre-adolescent binge eating disorder.	False	The main goal of the paper is to investigate the aberrant functional connectivity between reward and inhibitory control networks in pre-adolescent binge eating disorder, rather than developing new technology or methods.
doi:10.3389/fmed.2022.849677	ScientificPrimaryResearchArticle	Mulenga C, Sviben S, Chandwe K, Amadi B, Kayamba V, Fitzpatrick JAJ, Mudenda V, Kelly P. (2022) Epithelial Abnormalities in the Small Intestine of Zambian Children With Stunting.	False	The goal of the paper is to investigate and understand epithelial abnormalities in Zambian children with stunting, rather than developing new technology or methods. The methods used include confocal laser endomicroscopy and histological analysis.
doi:10.1016/j.bpsgos.2022.03.004	ScientificPrimaryResearchArticle	Sibilia F, Custer RM, Irimia A, Sepehrband F, Toga AW, Cabeen RP, TRACK-TBI Investigators. (2022) Life After Mild Traumatic Brain Injury: Widespread Structural Brain Changes Associated With Psychological Distress Revealed With Multimodal Magnetic Resonance Imaging.	False	The main goal of the paper is to investigate the relationship between brain injury and psychological distress after mild TBI using multimodal magnetic resonance imaging. The methods involve using various imaging techniques to analyze brain structures and their association with psychological symptoms, rather than developing new technology or methods.
doi:10.1091/mbc.e21-10-0500	ScientificPrimaryResearchArticle	Julner A, Abbasi M, Menéndez-Benito V. (2022) The microtubule plus-end tracking protein Bik1 is required for chromosome congression.	False	The goal of the paper is to investigate how the microtubule plus-end tracking protein Bik1 is required for chromosome congression in yeast, not to develop new technology or methods.
doi:10.1101/2022.03.01.482451	ScientificPrimaryResearchPreprint	Dvornikov D, Halavatyi A, Khan MM, Zimmermann N, Cross A, Poeckel D, Melnikov E, Tischer C, Leyrer J, Schneider MA, Muley T, Winter H, Hessel E, Beinke S, Pepperkok R. (2022) Quantitative imaging reveals PI3Kδ inhibition reduces rhinovirus-induced damage of small airway epithelia in ex vivo cultured human precision cut lung slices from COPD patients	False	The main goal of the paper is to investigate how a PI3Kδ inhibitor affects rhinovirus-induced damage to small airway epithelia in COPD patients using quantitative imaging. The focus is on understanding the impact of the inhibitor on airway function and potential therapeutic opportunities.
doi:10.1158/2159-8290.cd-21-0522	ScientificPrimaryResearchArticle	Garciaz S, Guirguis AA, Müller S, Brown FC, Chan YC, Motazedian A, Rowe CL, Kuzich JA, Chan KL, Tran K, Smith L, MacPherson L, Liddicoat B, Lam EYN, Cañeque T, Burr ML, Litalien V, Pomilio G, Poplineau M, Duprez E, Dawson SJ, Ramm G, Cox AG, Brown KK, Huang DCS, Wei AH, McArthur K, Rodriguez R, Dawson MA. (2022) Pharmacologic Reduction of Mitochondrial Iron Triggers a Noncanonical BAX/BAK-Dependent Cell Death.	False	The main goal of the paper is to investigate how a drug-like small-molecule ironomycin reduces mitochondrial iron and triggers cell death in cancer cells, rather than developing new technology or methods.
doi:10.1016/j.psychres.2022.114473	ScientificPrimaryResearchArticle	Murray SB, Duval CJ, Balkchyan AA, Cabeen RP, Nagata JM, Toga AW, Siegel SJ, Jann K. (2022) Regional gray matter abnormalities in pre-adolescent binge eating disorder: A voxel-based morphometry study.	False	The paper aims to investigate regional gray matter abnormalities in pre-adolescent binge eating disorder using voxel-based morphometry. The goal is to understand the neurobiological markers of early-onset BED rather than developing new technology or methods.
doi:10.26508/lsa.202201378	ScientificPrimaryResearchArticle	Limas JC, Littlejohn AN, House AM, Kedziora KM, Mouery BL, Ma B, Fleifel D, Walens A, Aleman MM, Dominguez D, Cook JG. (2022) Quantitative profiling of adaptation to cyclin E overproduction.	False	The main goal of the paper is to investigate how cells adapt to cyclin E overproduction and to understand the mechanisms involved, rather than developing new technology or methods.
doi:10.1016/j.jcmg.2021.11.030	ScientificPrimaryResearchArticle	Kwiecinski J, Tzolos E, Fletcher AJ, Nash J, Meah MN, Cadet S, Adamson PD, Grodecki K, Joshi N, Williams MC, van Beek EJR, Lai C, Tavares AAS, MacAskill MG, Dey D, Baker AH, Leipsic J, Berman DS, Sellers SL, Newby DE, Dweck MR, Slomka PJ. (2022) Bypass Grafting and Native Coronary Artery Disease Activity.	False	The main goal of the paper is to investigate the influence of coronary artery bypass graft (CABG) surgery on native coronary artery disease activity and progression, rather than developing new technology or methods. The study aims to describe the potential of 18F-sodium fluoride (18F-NaF) positron emission tomography (PET) in identifying graft vasculopathy and its effects on native coronary arteries.
doi:10.1126/sciadv.abj4833	ScientificPrimaryResearchArticle	Vorontsova I, Vallmitjana A, Torrado B, Schilling TF, Hall JE, Gratton E, Malacrida L. (2022) In vivo macromolecular crowding is differentially modulated by aquaporin 0 in zebrafish lens: Insights from a nanoenvironment sensor and spectral imaging.	False	The main goal of the paper is to investigate how aquaporin 0 modulates macromolecular crowding in the zebrafish lens, using a nanoenvironment sensor and spectral imaging. The paper aims to understand the biological roles and regulation of macromolecular crowding rather than developing new technology or methods.
doi:10.1093/braincomms/fcac027	ScientificPrimaryResearchArticle	Patriat R, Pisharady PK, Amundsen-Huffmaster S, Linn-Evans M, Howell M, Chung JW, Petrucci MN, Videnovic A, Holker E, De Kam J, Tuite P, Lenglet C, Harel N, MacKinnon CD. (2022) White matter microstructure in Parkinson's disease with and without elevated rapid eye movement sleep muscle tone.	False	The main goal of the paper is to investigate how Parkinson's disease with and without elevated rapid eye movement sleep muscle tone affects white matter microstructure and its relationship to motor and cognitive function. The methods used include tract-based spatial statistics to compare diffusion MRI measures in different groups.
doi:10.1093/pcp/pcab167	ScientificPrimaryResearchArticle	Fisher KE, Krishnamoorthy P, Joens MS, Chory J, Fitzpatrick JAJ, Woodson JD. (2022) Singlet Oxygen Leads to Structural Changes to Chloroplasts during their Degradation in the Arabidopsis thaliana plastid ferrochelatase two Mutant.	False	The main goal of the work is to investigate the structural changes to chloroplasts during their degradation induced by singlet oxygen in the Arabidopsis thaliana plastid ferrochelatase two mutant. The methods used are described in the abstract, but the primary focus is on understanding the mechanisms of chloroplast degradation rather than developing new technology or methods.
doi:10.1016/j.celrep.2022.110296	ScientificPrimaryResearchArticle	Spillings BL, Day CJ, Garcia-Minambres A, Aggarwal A, Condon ND, Haselhorst T, Purcell DFJ, Turville SG, Stow JL, Jennings MP, Mak J. (2022) Host glycocalyx captures HIV proximal to the cell surface via oligomannose-GlcNAc glycan-glycan interactions to support viral entry.	False	The paper is focused on investigating how biological systems work, specifically on how HIV is captured near the cell surface via glycan-glycan interactions to support viral entry.
doi:10.1016/j.celrep.2022.110371	ScientificErrata	Anderson RH, Sochacki KA, Vuppula H, Scott BL, Bailey EM, Schultz MM, Kerkvliet JG, Taraska JW, Hoppe AD, Francis KR. (2022) Sterols lower energetic barriers of membrane bending and fission necessary for efficient clathrin-mediated endocytosis.	False	The goal of the paper is to investigate how biological systems work, specifically focusing on the role of sterols in membrane bending and fission during clathrin-mediated endocytosis.
doi:10.1016/j.yjsbx.2022.100060	ScientificPrimaryResearchArticle	Weerakoon AT, Cooper C, Meyers IA, Condon N, Sexton C, Thomson D, Ford PJ, Symons AL. (2022) Does dentine mineral change with anatomical location, microscopic site and patient age?	False	The main goal of the paper is to investigate how dentine mineral density, distribution, and composition are affected by patient age, anatomical location, and microscopic site, rather than developing new technology or methods.
doi:10.1126/science.abg3067	ScientificPrimaryResearchArticle	Orecchioni M, Kobiyama K, Winkels H, Ghosheh Y, McArdle S, Mikulski Z, Kiosses WB, Fan Z, Wen L, Jung Y, Roy P, Ali AJ, Miyamoto Y, Mangan M, Makings J, Wang Z, Denn A, Vallejo J, Owens M, Durant CP, Braumann S, Mader N, Li L, Matsunami H, Eckmann L, Latz E, Wang Z, Hazen SL, Ley K. (2022) Olfactory receptor 2 in vascular macrophages drives atherosclerosis by NLRP3-dependent IL-1 production.	False	The main goal of the paper is to investigate how olfactory receptor 2 in vascular macrophages drives atherosclerosis by NLRP3-dependent IL-1 production. The study aims to understand the biological mechanism underlying atherosclerosis rather than developing new technology or methods.
doi:10.1016/j.bpj.2022.01.008	ScientificPrimaryResearchArticle	Rohanifar M, Johnston BB, Davis AL, Guang Y, Nommensen K, Fitzpatrick JAJ, Pham CN, Setton LA. (2022) Hydraulic permeability and compressive properties of porcine and human synovium.	False	The paper's main goal is to characterize the material properties of synovium, such as compressive properties and hydraulic permeability, in order to better understand drug transport in joints. The methods used are experimental and computational approaches to measure these properties.
doi:10.1038/s42003-021-02953-x	ScientificPrimaryResearchArticle	Luke CJ, Markovina S, Good M, Wight IE, Thomas BJ, Linneman JM, Lanik WE, Koroleva O, Coffman MR, Miedel MT, Gong Q, Andress A, Campos Guerrero M, Wang S, Chen L, Beatty WL, Hausmann KN, White FV, Fitzpatrick JAJ, Orvedahl A, Pak SC, Silverman GA. (2022) Lysoptosis is an evolutionarily conserved cell death pathway moderated by intracellular serpins.	False	The main goal of the paper is to investigate and understand the lysoptosis cell death pathway moderated by intracellular serpins in an evolutionary context. The paper aims to show that lysoptosis is an evolutionarily conserved eukaryotic lysosome-dependent cell death pathway.
doi:10.1007/978-1-0716-2449-4_18	ScientificPrimaryResearchArticle	Afroz SF, Condon ND, Sweet MJ, Kapetanovic R. (2022) Quantifying Regulated Mitochondrial Fission in Macrophages.	False	The main goal of the paper is to investigate how regulated mitochondrial fission occurs in macrophages, rather than developing new technology or methods. The methods described are used to quantify mitochondrial dynamics in macrophages.
doi:10.1164/rccm.202103-0594im	ScientificPrimaryResearchArticle	Ackermann M, Tafforeau P, Wagner WL, Walsh CL, Werlein C, Kühnel MP, Länger FP, Disney C, Bodey AJ, Bellier A, Verleden SE, Lee PD, Mentzer SJ, Jonigk DD. (2022) The Bronchial Circulation in COVID-19 Pneumonia.	False	The paper is focused on investigating the bronchial circulation in COVID-19 pneumonia, which indicates a goal of understanding how biological systems work rather than developing new technology or methods.
doi:10.1126/sciadv.abg3693	ScientificPrimaryResearchArticle	Chassefeyre R, Chaiamarit T, Verhelle A, Novak SW, Andrade LR, Leitão ADG, Manor U, Encalada SE. (2021) Endosomal sorting drives the formation of axonal prion protein endoggresomes.	False	The main goal of the paper is to investigate the molecular mechanisms driving axonal misfolded PrP aggregate formation and their impact on neuronal viability, rather than developing new technology or methods.
doi:10.1007/s00125-021-05619-9	ScientificPrimaryResearchArticle	Quesada-Masachs E, Zilberman S, Rajendran S, Chu T, McArdle S, Kiosses WB, Lee JM, Yesildag B, Benkahla MA, Pawlowska A, Graef M, Pfeiffer S, Mikulski Z, von Herrath M. (2021) Upregulation of HLA class II in pancreatic beta cells from organ donors with type 1 diabetes.	False	The main goal of the paper is to investigate the expression of HLA class II in pancreatic beta cells from donors with type 1 diabetes and to analyze its induction in human islets. The methods used involve immunostaining, imaging techniques, and measuring islet function after treatment with proinflammatory cytokines. The focus is on understanding the biological phenomenon of HLA-II expression in pancreatic beta cells in the context of type 1 diabetes.
doi:10.1038/s41589-021-00935-y	ScientificPrimaryResearchArticle	Mendez DL, Lowder EP, Tillman DE, Sutherland MC, Collier AL, Rau MJ, Fitzpatrick JAJ, Kranz RG. (2021) Cryo-EM of CcsBA reveals the basis for cytochrome c biogenesis and heme transport.	False	The main goal of the paper is to investigate the structural basis for cytochrome c biogenesis and heme transport, not to develop new technology or methods.
doi:10.1016/j.devcel.2021.11.024	ScientificPrimaryResearchArticle	Gaertner F, Reis-Rodrigues P, de Vries I, Hons M, Aguilera J, Riedl M, Leithner A, Tasciyan S, Kopf A, Merrin J, Zheden V, Kaufmann WA, Hauschild R, Sixt M. (2021) WASp triggers mechanosensitive actin patches to facilitate immune cell migration in dense tissues.	False	The main goal of the paper is to investigate how biological systems work, specifically focusing on the role of WASp in facilitating immune cell migration in dense tissues.
doi:10.3390/cancers13235998	ScientificPrimaryResearchArticle	Leonard NA, Reidy E, Thompson K, McDermott E, Peerani E, Tomas Bort E, Balkwill FR, Loessner D, Ryan AE. (2021) Stromal Cells Promote Matrix Deposition, Remodelling and an Immunosuppressive Tumour Microenvironment in a 3D Model of Colon Cancer.	False	The main goal of the paper is to investigate the effects of stromal cells in a 3D model of colon cancer and to identify novel therapeutic targets, rather than developing a new technology or method.
doi:10.1016/j.cels.2021.10.007	ScientificPrimaryResearchArticle	Stallaert W, Kedziora KM, Taylor CD, Zikry TM, Ranek JS, Sobon HK, Taylor SR, Young CL, Cook JG, Purvis JE. (2021) The structure of the human cell cycle.	False	The main goal of the paper is to understand the organization of the human cell cycle, not to develop a new technology or method. The study utilizes time-lapse microscopy, single-cell imaging, and manifold learning to visualize the cell cycle and its molecular states.
doi:10.1016/j.redox.2021.102186	ScientificPrimaryResearchArticle	Zeb A, Choubey V, Gupta R, Kuum M, Safiulina D, Vaarmann A, Gogichaishvili N, Liiv M, Ilves I, Tämm K, Veksler V, Kaasik A. (2021) A novel role of KEAP1/PGAM5 complex: ROS sensor for inducing mitophagy.	False	The goal of the paper is to investigate how the KEAP1/PGAM5 complex functions as a ROS sensor to induce mitophagy. The methods used in the study involve demonstrating the role of KEAP1/PGAM5 complex in regulating mitophagy through experiments and inhibitors.
doi:10.1016/j.biopsych.2021.11.002	ScientificPrimaryResearchArticle	Zhao L, Matloff W, Shi Y, Cabeen RP, Toga AW. (2021) Mapping Complex Brain Torque Components and Their Genetic Architecture and Phenomic Associations in 24,112 Individuals.	False	The main goal of the paper is to investigate the genetic architecture, phenomic associations, and individual variations of structural brain torque components in a large sample of individuals, rather than developing new technology or methods.
doi:10.1002/art.41882	ScientificPrimaryResearchArticle	Shi Z, Garcia-Melchor E, Wu X, Getschman AE, Nguyen M, Rowland DJ, Wilson M, Sunzini F, Akbar M, Huynh M, Law T, Raychaudhuri SK, Raychaudhuri SP, Volkman BF, Millar NL, Hwang ST. (2021) Targeting the CCR6/CCL20 Axis in Entheseal and Cutaneous Inflammation.	False	The main goal of the paper is to investigate the involvement of the CCR6/CCL20 axis in psoriatic arthritis and psoriasis, as well as to evaluate its potential as a therapeutic target. The methods used in the study include quantifying CCL20 levels, examining CCR6+ cells, utilizing an IL-23 mouse model, and assessing the effect of CCL20 blockade.
doi:10.1016/j.celrep.2021.110008	ScientificPrimaryResearchArticle	Anderson RH, Sochacki KA, Vuppula H, Scott BL, Bailey EM, Schultz MM, Kerkvliet JG, Taraska JW, Hoppe AD, Francis KR. (2021) Sterols lower energetic barriers of membrane bending and fission necessary for efficient clathrin-mediated endocytosis.	False	The main goal of the paper is to investigate how sterols impact the energetic barriers of membrane bending and fission during clathrin-mediated endocytosis, rather than developing a new technology or method.
doi:10.7554/elife.67292	ScientificPrimaryResearchArticle	Gustafsson JK, Davis JE, Rappai T, McDonald KG, Kulkarni DH, Knoop KA, Hogan SP, Fitzpatrick JA, Lencer WI, Newberry RD. (2021) Intestinal goblet cells sample and deliver lumenal antigens by regulated endocytic uptake and transcytosis.	False	The main goal of the paper is to investigate and understand the cellular biology of goblet cell associated antigen passages (GAPs) and how goblet cells balance and regulate the processes of mucus secretion and antigen sampling. The methods used, such as high-resolution light and electron microscopy, were employed to study the biological processes rather than to develop new techniques or methods.
doi:10.1016/j.celrep.2021.109881	ScientificPrimaryResearchArticle	Errico JM, Zhao H, Chen RE, Liu Z, Case JB, Ma M, Schmitz AJ, Rau MJ, Fitzpatrick JAJ, Shi PY, Diamond MS, Whelan SPJ, Ellebedy AH, Fremont DH. (2021) Structural mechanism of SARS-CoV-2 neutralization by two murine antibodies targeting the RBD.	False	The main goal of the paper is to investigate how two murine antibodies neutralize SARS-CoV-2, rather than developing new technology or methods.
