Key	Item Type	Publication Year	Author	Title	Publication Title	ISBN	ISSN	DOI	Url	Abstract Note	Date	Date Added	Date Modified	Access Date	Pages	Num Pages	Issue	Volume	Number Of Volumes	Journal Abbreviation	Short Title	Series	Series Number	Series Text	Series Title	Publisher	Place	Language	Rights	Type	Archive	Archive Location	Library Catalog	Call Number	Extra	Notes	File Attachments	Link Attachments	Manual Tags	Automatic Tags	Editor	Series Editor	Translator	Contributor	Attorney Agent	Book Author	Cast Member	Commenter	Composer	Cosponsor	Counsel	Interviewer	Producer	Recipient	Reviewed Author	Scriptwriter	Words By	Guest	Number	Edition	Running Time	Scale	Medium	Artwork Size	Filing Date	Application Number	Assignee	Issuing Authority	Country	Meeting Name	Conference Name	Court	References	Reporter	Legal Status	Priority Numbers	Programming Language	Version	System	Code	Code Number	Section	Session	Committee	History	Legislative Body																																																																																						
4T9H4SPY	journalArticle	2020	Fuhrmann, Jana Franziska; Buono, Lorena; Adelmann, Leonie; Martinez-Morales, Juan Ramón; Centanin, Lazaro	Genetic developmental timing revealed by inter-species transplantations in fish	Development (Cambridge, England)		1477-9129	10.1242/dev.192500		The path from a fertilised egg to an embryo involves the coordinated formation of cell types, tissues and organs. Developmental modules comprise discrete units specified by self-sufficient genetic programs that can interact with each other during embryogenesis. Here, we have taken advantage of the different span of embryonic development between two distantly related teleosts, zebrafish (Danio rerio) and medaka (Oryzias latipes) (3 and 9 days, respectively), to explore modularity principles. We report that inter-species blastula transplantations result in the ectopic formation of a retina formed by donor cells - a module. We show that the time taken for the retina to develop follows a genetic program: an ectopic zebrafish retina in medaka develops with zebrafish dynamics. Heterologous transplantation results in a temporal decoupling between the donor retina and host organism, illustrated by two paradigms that require retina-host interactions: lens recruitment and retino-tectal projections. Our results uncover a new experimental system for addressing temporal decoupling along embryonic development, and highlight the presence of largely autonomous but interconnected developmental modules that orchestrate organogenesis.	2020-11-23	2024-03-06 20:04:41	2024-03-06T20:04:41Z		dev192500		22	147		Development								eng					PubMed		PMID: 33033120					Animals; Blastula; Developmental timing; Genetic chimera; Heterografts; Inter-species transplantation; Lens induction; Medaka; Organogenesis; Oryzias; Retina; Retino-tectal projection; Transplantation Chimera; Zebrafish																																																																																																																																				
8DTBPNT6	journalArticle	2020	Raj, Bushra; Farrell, Jeffrey A.; Liu, Jialin; El Kholtei, Jakob; Carte, Adam N.; Navajas Acedo, Joaquin; Du, Lucia Y.; McKenna, Aaron; Relić, Đorđe; Leslie, Jessica M.; Schier, Alexander F.	Emergence of Neuronal Diversity during Vertebrate Brain Development	Neuron		1097-4199	10.1016/j.neuron.2020.09.023		Neurogenesis comprises many highly regulated processes including proliferation, differentiation, and maturation. However, the transcriptional landscapes underlying brain development are poorly characterized. We describe a developmental single-cell catalog of ∼220,000 zebrafish brain cells encompassing 12 stages from embryo to larva. We characterize known and novel gene markers for ∼800 clusters and provide an overview of the diversification of neurons and progenitors across these time points. We also introduce an optimized GESTALT lineage recorder that enables higher expression and recovery of Cas9-edited barcodes to query lineage segregation. Cell type characterization indicates that most embryonic neural progenitor states are transitory and transcriptionally distinct from neural progenitors of post-embryonic stages. Reconstruction of cell specification trajectories reveals that late-stage retinal neural progenitors transcriptionally overlap cell states observed in the embryo. The zebrafish brain development atlas provides a resource to define and manipulate specific subsets of neurons and to uncover the molecular mechanisms underlying vertebrate neurogenesis.	2020-12-23	2024-03-06 20:04:41	2024-03-06T20:04:41Z		1058-1074.e6		6	108		Neuron								eng					PubMed		PMID: 33068532 PMCID: PMC8286448					Animals; Brain; CRISPR-Cas9 barcoding; Cell Differentiation; Cell Lineage; Gene Expression Regulation, Developmental; Neurogenesis; Neurons; Zebrafish; brain; cell specification; lineage; neurogenesis; progenitor; retina; scRNA-Seq; transcriptional cascade; zebrafish																																																																																																																																				
NHZZWZC3	journalArticle	2021	Aluru, Neelakanteswar; Karchner, Sibel I.	PCB126 Exposure Revealed Alterations in m6A RNA Modifications in Transcripts Associated With AHR Activation	Toxicological Sciences: An Official Journal of the Society of Toxicology		1096-0929	10.1093/toxsci/kfaa158		Chemical modifications of proteins, DNA, and RNA moieties play critical roles in regulating gene expression. Emerging evidence suggests the RNA modifications (epitranscriptomics) have substantive roles in basic biological processes. One of the most common modifications in mRNA and noncoding RNAs is N6-methyladenosine (m6A). In a subset of mRNAs, m6A sites are preferentially enriched near stop codons, in 3' UTRs, and within exons, suggesting an important role in the regulation of mRNA processing and function including alternative splicing and gene expression. Very little is known about the effect of environmental chemical exposure on m6A modifications. As many of the commonly occurring environmental contaminants alter gene expression profiles and have detrimental effects on physiological processes, it is important to understand the effects of exposure on this important layer of gene regulation. Hence, the objective of this study was to characterize the acute effects of developmental exposure to PCB126, an environmentally relevant dioxin-like PCB, on m6A methylation patterns. We exposed zebrafish embryos to PCB126 for 6 h starting from 72 h post fertilization and profiled m6A RNA using methylated RNA immunoprecipitation followed by sequencing (MeRIP-seq). Our analysis revealed 117 and 217 m6A peaks in the DMSO and PCB126 samples (false discovery rate 5%), respectively. The majority of the peaks were preferentially located around the 3' UTR and stop codons. Statistical analysis revealed 15 m6A marked transcripts to be differentially methylated by PCB126 exposure. These include transcripts that are known to be activated by AHR agonists (eg, ahrra, tiparp, nfe2l2b) as well as others that are important for normal development (vgf, cebpd, sned1). These results suggest that environmental chemicals such as dioxin-like PCBs could affect developmental gene expression patterns by altering m6A levels. Further studies are necessary to understand the functional consequences of exposure-associated alterations in m6A levels.	2021-01-06	2024-03-06 20:04:41	2024-03-06T20:04:41Z		84-94		1	179		Toxicol Sci								eng					PubMed		PMID: 33064826 PMCID: PMC8453794					Animals; MeRIP; Methylation; Polychlorinated Biphenyls; RNA; Transcriptome; Zebrafish; development; dioxin-like PCBs; epitranscriptomics; m6A; zebrafish																																																																																																																																				
BFDJKXP9	journalArticle	2020	Tsai, Tony Y.-C.; Sikora, Mateusz; Xia, Peng; Colak-Champollion, Tugba; Knaut, Holger; Heisenberg, Carl-Philipp; Megason, Sean G.	An adhesion code ensures robust pattern formation during tissue morphogenesis	Science (New York, N.Y.)		1095-9203	10.1126/science.aba6637		Animal development entails the organization of specific cell types in space and time, and spatial patterns must form in a robust manner. In the zebrafish spinal cord, neural progenitors form stereotypic patterns despite noisy morphogen signaling and large-scale cellular rearrangements during morphogenesis and growth. By directly measuring adhesion forces and preferences for three types of endogenous neural progenitors, we provide evidence for the differential adhesion model in which differences in intercellular adhesion mediate cell sorting. Cell type-specific combinatorial expression of different classes of cadherins (N-cadherin, cadherin 11, and protocadherin 19) results in homotypic preference ex vivo and patterning robustness in vivo. Furthermore, the differential adhesion code is regulated by the sonic hedgehog morphogen gradient. We propose that robust patterning during tissue morphogenesis results from interplay between adhesion-based self-organization and morphogen-directed patterning.	2020-10-02	2024-03-06 20:04:40	2024-03-06T20:04:40Z		113-116		6512	370		Science								eng					PubMed		PMID: 33004519 PMCID: PMC7879479					Animals; Body Patterning; Cadherins; Cell Adhesion; Neural Stem Cells; Protocadherins; Spinal Cord; Zebrafish; Zebrafish Proteins																																																																																																																																				
PV3TN3VX	journalArticle	2020	Boezio, Giulia Lm; Bensimon-Brito, Anabela; Piesker, Janett; Guenther, Stefan; Helker, Christian Sm; Stainier, Didier Yr	Endothelial TGF-β signaling instructs smooth muscle cell development in the cardiac outflow tract	eLife		2050-084X	10.7554/eLife.57603		The development of the cardiac outflow tract (OFT), which connects the heart to the great arteries, relies on a complex crosstalk between endothelial (ECs) and smooth muscle (SMCs) cells. Defects in OFT development can lead to severe malformations, including aortic aneurysms, which are frequently associated with impaired TGF-β signaling. To better understand the role of TGF-β signaling in OFT formation, we generated zebrafish lacking the TGF-β receptor Alk5 and found a strikingly specific dilation of the OFT: alk5-/- OFTs exhibit increased EC numbers as well as extracellular matrix (ECM) and SMC disorganization. Surprisingly, endothelial-specific alk5 overexpression in alk5-/- rescues the EC, ECM, and SMC defects. Transcriptomic analyses reveal downregulation of the ECM gene fibulin-5, which when overexpressed in ECs ameliorates OFT morphology and function. These findings reveal a new requirement for endothelial TGF-β signaling in OFT morphogenesis and suggest an important role for the endothelium in the etiology of aortic malformations.	2020-09-29	2024-03-06 20:04:40	2024-03-06T20:04:40Z		e57603			9		Elife								eng					PubMed		PMID: 32990594 PMCID: PMC7524555					Animals; Aorta; Endothelium; Endothelium, Vascular; Heart Ventricles; Myocytes, Smooth Muscle; Receptor, Transforming Growth Factor-beta Type I; Smad3 Protein; TGF-β; Transforming Growth Factor beta; Zebrafish; Zebrafish Proteins; cellular cross-talk; developmental biology; extracellular matrix; outflow tract; smooth muscle cells; zebrafish																																																																																																																																				
U7A74VNG	journalArticle	2020	Lin, Xi; Zhou, Qiuxia; Lin, Guanzhen; Zhao, Changlong; Wen, Zilong	Endoderm-Derived Myeloid-like Metaphocytes in Zebrafish Gill Mediate Soluble Antigen-Induced Immunity	Cell Reports		2211-1247	10.1016/j.celrep.2020.108227		Immune cells in the mucosal barriers of vertebrates are highly heterogeneous in their origin and function. This heterogeneity is further exemplified by the recent discovery of ectoderm-derived immune cells-metaphocytes in zebrafish epidermis. Yet, whether non-hematopoiesis-derived immune cells generally exist in barrier tissues remains obscured. Here, we report the identification and characterization of an endoderm-derived immune cell population in the gill and intestine of zebrafish. Transcriptome analysis reveals that the endoderm-derived immune cells are myeloid-like cells with high similarities to the ectoderm-derived metaphocytes in epidermis. Like metaphocytes in epidermis, the endoderm-derived immune cells are non-phagocytic but professional in external soluble antigen uptake. Depletion of the endoderm-derived immune cells in gill hinder the local immune response to external soluble stimulants. This study demonstrates a general existence of non-hematopoiesis-derived immune cells in zebrafish mucosal barriers and challenges the prevalent view that resident immune cells in mucosal barriers arise exclusively from hematopoiesis.	2020-10-06	2024-03-06 20:04:40	2024-03-06T20:04:40Z		108227		1	33		Cell Rep								eng					PubMed		PMID: 33027664					Animals; Endoderm; Gills; Zebrafish; Zebrafish Proteins; endoderm; gill; intestine; macrophage; metaphocyte; zebrafish																																																																																																																																				
BCZM7FHN	journalArticle	2020	Weger, Meltem; Weger, Benjamin D.; Schink, Andrea; Takamiya, Masanari; Stegmaier, Johannes; Gobet, Cédric; Parisi, Alice; Kobitski, Andrei Yu; Mertes, Jonas; Krone, Nils; Strähle, Uwe; Nienhaus, Gerd Ulrich; Mikut, Ralf; Gachon, Frédéric; Gut, Philipp; Dickmeis, Thomas	MondoA regulates gene expression in cholesterol biosynthesis-associated pathways required for zebrafish epiboly	eLife		2050-084X	10.7554/eLife.57068		The glucose-sensing Mondo pathway regulates expression of metabolic genes in mammals. Here, we characterized its function in the zebrafish and revealed an unexpected role of this pathway in vertebrate embryonic development. We showed that knockdown of mondoa impaired the early morphogenetic movement of epiboly in zebrafish embryos and caused microtubule defects. Expression of genes in the terpenoid backbone and sterol biosynthesis pathways upstream of pregnenolone synthesis was coordinately downregulated in these embryos, including the most downregulated gene nsdhl. Loss of Nsdhl function likewise impaired epiboly, similar to MondoA loss of function. Both epiboly and microtubule defects were partially restored by pregnenolone treatment. Maternal-zygotic mutants of mondoa showed perturbed epiboly with low penetrance and compensatory changes in the expression of terpenoid/sterol/steroid metabolism genes. Collectively, our results show a novel role for MondoA in the regulation of early vertebrate development, connecting glucose, cholesterol and steroid hormone metabolism with early embryonic cell movements.	2020-09-24	2024-03-06 20:04:39	2024-03-06T20:04:39Z		e57068			9		Elife								eng					PubMed		PMID: 32969791 PMCID: PMC7515633					Animals; Basic Helix-Loop-Helix Leucine Zipper Transcription Factors; Cholesterol; Embryo, Nonmammalian; Gastrulation; Gene Expression Regulation, Developmental; Gene Knockdown Techniques; Zebrafish; Zebrafish Proteins; carbohydrate response element; cholesterol; developmental biology; epiboly; genetics; genomics; metabolism; microtubule; pregnenolone; zebrafish																																																																																																																																				
IHIW6A92	journalArticle	2020	She, Peilu; Zhang, Huifang; Peng, Xiangwen; Sun, Jianjian; Gao, Bangjun; Zhou, Yating; Zhu, Xuejiao; Hu, Xueli; Lai, Kaa Seng; Wong, Jiemin; Zhou, Bin; Wang, Linhui; Zhong, Tao P.	The Gridlock transcriptional repressor impedes vertebrate heart regeneration by restricting expression of lysine methyltransferase	Development (Cambridge, England)		1477-9129	10.1242/dev.190678		Teleost zebrafish and neonatal mammalian hearts exhibit the remarkable capacity to regenerate through dedifferentiation and proliferation of pre-existing cardiomyocytes (CMs). Although many mitogenic signals that stimulate zebrafish heart regeneration have been identified, transcriptional programs that restrain injury-induced CM renewal are incompletely understood. Here, we report that mutations in gridlock (grl; also known as hey2), encoding a Hairy-related basic helix-loop-helix transcriptional repressor, enhance CM proliferation and reduce fibrosis following damage. In contrast, myocardial grl induction blunts CM dedifferentiation and regenerative responses to heart injury. RNA sequencing analyses uncover Smyd2 lysine methyltransferase (KMT) as a key transcriptional target repressed by Grl. Reduction in Grl protein levels triggered by injury induces smyd2 expression at the wound myocardium, enhancing CM proliferation. We show that Smyd2 functions as a methyltransferase and modulates the Stat3 methylation and phosphorylation activity. Inhibition of the KMT activity of Smyd2 reduces phosphorylated Stat3 at cardiac wounds, suppressing the elevated CM proliferation in injured grl mutant hearts. Our findings establish an injury-specific transcriptional repression program in governing CM renewal during heart regeneration, providing a potential strategy whereby silencing Grl repression at local regions might empower regeneration capacity to the injured mammalian heart.	2020-09-28	2024-03-06 20:04:39	2024-03-06T20:04:39Z		dev190678		18	147		Development								eng					PubMed		PMID: 32988975 PMCID: PMC7541343					Animals; Animals, Newborn; Basic Helix-Loop-Helix Transcription Factors; Cardiomyocyte proliferation; Cell Differentiation; Cell Proliferation; Grl; Heart; Heart regeneration; Hey2; Lysine; Lysine methyltransferase; Methyltransferases; Myocardium; Myocytes, Cardiac; Phosphorylation; Regeneration; STAT3 Transcription Factor; Signal Transduction; Transcription, Genetic; Vertebrates; Zebrafish; Zebrafish Proteins																																																																																																																																				
EZIJPGJA	journalArticle	2020	Lou, Bowen; Boger, Mike; Bennewitz, Katrin; Sticht, Carsten; Kopf, Stefan; Morgenstern, Jakob; Fleming, Thomas; Hell, Rüdiger; Yuan, Zuyi; Nawroth, Peter Paul; Kroll, Jens	Elevated 4-hydroxynonenal induces hyperglycaemia via Aldh3a1 loss in zebrafish and associates with diabetes progression in humans	Redox Biology		2213-2317	10.1016/j.redox.2020.101723		Increased methylglyoxal (MG) formation is associated with diabetes and its complications. In zebrafish, knockout of the main MG detoxifying system Glyoxalase 1, led to limited MG elevation but significantly elevated aldehyde dehydrogenases (ALDH) activity and aldh3a1 expression, suggesting the compensatory role of Aldh3a1 in diabetes. To evaluate the function of Aldh3a1 in glucose homeostasis and diabetes, aldh3a1-/- zebrafish mutants were generated using CRISPR-Cas9. Vasculature and pancreas morphology were analysed by zebrafish transgenic reporter lines. Corresponding reactive carbonyl species (RCS), glucose, transcriptome and metabolomics screenings were performed and ALDH activity was measured for further verification. Aldh3a1-/- zebrafish larvae displayed retinal vasodilatory alterations, impaired glucose homeostasis, which can be aggravated via pdx1 silencing induced hyperglycaemia. Unexpectedly, MG was not altered, but 4-hydroxynonenal (4-HNE), another prominent lipid peroxidation RCS exhibited high affinity with Aldh3a1, was increased in aldh3a1 mutants. 4-HNE was responsible for the retinal phenotype via pancreas disruption induced hyperglycaemia and can be rescued via l-Carnosine treatment. Furthermore, in type 2 diabetic patients, serum 4-HNE was increased and correlated with disease progression. Thus, our data suggest impaired 4-HNE detoxification and elevated 4-HNE concentration as biomarkers but also the possible inducers for diabetes, from genetic susceptibility to the pathological progression.	2020-10	2024-03-06 20:04:39	2024-03-06T20:04:39Z		101723			37		Redox Biol								eng					PubMed		PMID: 32980661 PMCID: PMC7519378					4-hydroxynonenal; Aldehyde Dehydrogenase; Aldehydes; Aldh3a1; Animals; Diabetes; Diabetes Mellitus; Gene Knockout Techniques; Glucose homeostasis; Humans; Hyperglycemia; Reactive carbonyl species; Zebrafish																																																																																																																																				
PIVADX4J	journalArticle	2020	Costa, Guilherme; Bradbury, Joshua J.; Tarannum, Nawseen; Herbert, Shane P.	RAB13 mRNA compartmentalisation spatially orients tissue morphogenesis	The EMBO journal		1460-2075	10.15252/embj.2020106003		Polarised targeting of diverse mRNAs to cellular protrusions is a hallmark of cell migration. Although a widespread phenomenon, definitive functions for endogenous targeted mRNAs and their relevance to modulation of in vivo tissue dynamics remain elusive. Here, using single-molecule analysis, gene editing and zebrafish live-cell imaging, we report that mRNA polarisation acts as a molecular compass that orients motile cell polarity and spatially directs tissue movement. Clustering of protrusion-derived RNAseq datasets defined a core 192-nt localisation element underpinning precise mRNA targeting to sites of filopodia formation. Such targeting of the small GTPase RAB13 generated tight spatial coupling of mRNA localisation, translation and protein activity, achieving precise subcellular compartmentalisation of RAB13 protein function to create a polarised domain of filopodia extension. Consequently, genomic excision of this localisation element and perturbation of RAB13 mRNA targeting-but not translation-depolarised filopodia dynamics in motile endothelial cells and induced mispatterning of blood vessels in zebrafish. Hence, mRNA polarisation, not expression, is the primary determinant of the site of RAB13 action, preventing ectopic functionality at inappropriate subcellular loci and orienting tissue morphogenesis.	2020-11-02	2024-03-06 20:04:38	2024-03-06T20:04:38Z		e106003		21	39		EMBO J								eng					PubMed		PMID: 32946121 PMCID: PMC7604621					Animals; Cell Movement; Cell Polarity; Endothelial Cells; GTP Phosphohydrolases; Gene Editing; Morphogenesis; Pseudopodia; RNA, Messenger; Zebrafish; angiogenesis; endothelial cell; filopodia; mRNA targeting; rab GTP-Binding Proteins; zebrafish																																																																																																																																				
8XCT6MPT	journalArticle	2020	Menon, Triveni; Borbora, Asfa Sabrin; Kumar, Rahul; Nair, Sreelaja	Dynamic optima in cell sizes during early development enable normal gastrulation in zebrafish embryos	Developmental Biology		1095-564X	10.1016/j.ydbio.2020.09.002		Cell migration is the main driver of the evolutionarily conserved process of gastrulation, which shapes metazoan embryo morphology. The molecular and cellular mechanisms of cell migration during gastrulation though well researched lacks an understanding of the contribution of cell sizes to collective cell migration. This is especially important during the early phase of metazoan development, which is dominated by constantly changing cell sizes in the background of which cells migrate en mass to shape the embryo. Here we investigate this phenomenon in zebrafish embryos, a model system in which early cell divisions causes cell sizes to decrease naturally over time as cells migrate collectively to sculpt the embryonic body plan. Because mutations that can perturb cell sizes so early in development do not exist, we generate haploid and tetraploid zebrafish embryos and show that cell sizes in such embryos are smaller and larger than the diploid norm, respectively. Cells in embryos made of smaller or larger than normal cells migrate sub-optimally, leading to gastrulation defects. Gene expression analysis suggests that the observed defects originate from altered cell size, and not from pleiotropic effects of altered ploidy. This interpretation is strengthened when gastrulation defects are rescued by increasing cell sizes in embryos wherein cell sizes are smaller than normal. We show that the migration defects are cell-autonomous by live imaging migrating haploid and tetraploid cells during gastrulation in chimeric diploid embryos. Analysis of membrane protrusion dynamics in single cells shows that cells normally extend protrusions non-uniformly during migration, a phenomenon which is perturbed when cell sizes deviate from the norm. Thus, an optimal range of developmental stage-specific cell sizes appears necessary for collective cell migration to correctly position cells in space and time to shape an amorphous ball of blastoderm into an embryo.	2020-12-01	2024-03-06 20:04:38	2024-03-06T20:04:38Z		26-40		1-2	468		Dev Biol								eng					PubMed		PMID: 32937161					Animals; Blastoderm; Cell Size; Cell migration; Cell size; Gastrulation; Gene Expression Regulation, Developmental; Mutation; Zebrafish																																																																																																																																				
Z4MX7KAT	journalArticle	2021	Blanc, Mélanie; Alfonso, Sébastien; Bégout, Marie-Laure; Barrachina, Célia; Hyötyläinen, Tuulia; Keiter, Steffen H.; Cousin, Xavier	An environmentally relevant mixture of polychlorinated biphenyls (PCBs) and polybrominated diphenylethers (PBDEs) disrupts mitochondrial function, lipid metabolism and neurotransmission in the brain of exposed zebrafish and their unexposed F2 offspring	The Science of the Total Environment		1879-1026	10.1016/j.scitotenv.2020.142097		Polychlorinated biphenyls (PCBs) and polybrominated diphenyl ethers (PBDEs) are persistent organic pollutants still present in aquatic environments despite their total or partial ban. Previously, we observed that an environmentally realistic mixture of these compounds affects energy balance, growth, and reproduction in exposed zebrafish (F0), and behavior in their unexposed offspring (F1-F4). In the present work, we performed lipidomic and transcriptomic analyses on brains of zebrafish (F0-F2) from exposed and control lineages to identify molecular changes that could explain the observed phenotypes. The use of both technologies highlighted that F0 zebrafish displayed impaired mitochondrial function and lipid metabolism regulation (depletion in triacylglycerols and phospholipids) which can explain disruption of energy homeostasis. A subset of the regulated biological pathways related to energetic metabolism and neurotransmission were inherited in F2. In addition, there were increasing effects on epigenetic pathways from the F0 to the F2 generation. Altogether, we show that the effects of an environmental exposure to PCBs and PBDEs on energetic metabolism as well as neurotransmission extend over 2 generations of zebrafish, possibly due to transgenerational epigenetic inheritance.	2021-02-01	2024-03-06 20:04:37	2024-03-06T20:04:37Z		142097			754		Sci Total Environ								eng					PubMed		PMID: 32911150					Animals; Brain; Brain metabolism; Danio rerio; Halogenated Diphenyl Ethers; Lipid Metabolism; Mitochondria; Neurotoxicity; Persistent organic pollutant; Polybrominated Biphenyls; Polychlorinated Biphenyls; RNA-Seq; Synaptic Transmission; Zebrafish																																																																																																																																				
56HZIHFE	journalArticle	2020	Shoffner, Adam; Cigliola, Valentina; Lee, Nutishia; Ou, Jianhong; Poss, Kenneth D.	Tp53 Suppression Promotes Cardiomyocyte Proliferation during Zebrafish Heart Regeneration	Cell Reports		2211-1247	10.1016/j.celrep.2020.108089		Zebrafish regenerate heart muscle through division of pre-existing cardiomyocytes. To discover underlying regulation, we assess transcriptome datasets for dynamic gene networks during heart regeneration and identify suppression of genes associated with the transcription factor Tp53. Cardiac damage leads to fluctuation of Tp53 protein levels, concomitant with induced expression of its central negative regulator, mdm2, in regenerating cardiomyocytes. Zebrafish lacking functional Tp53 display increased indicators of cardiomyocyte proliferation during regeneration, whereas transgenic Mdm2 blockade inhibits injury-induced cardiomyocyte proliferation. Induced myocardial overexpression of the mitogenic factors Nrg1 or Vegfaa in the absence of injury also upregulates mdm2 and suppresses Tp53 levels, and tp53 mutations augment the mitogenic effects of Nrg1. mdm2 induction is spatiotemporally associated with markers of de-differentiation in injury and growth contexts, suggesting a broad role in cardiogenesis. Our findings reveal myocardial Tp53 suppression by mitogen-induced Mdm2 as a regulatory component of innate cardiac regeneration.	2020-09-01	2024-03-06 20:04:37	2024-03-06T20:04:37Z		108089		9	32		Cell Rep								eng					PubMed		PMID: 32877671 PMCID: PMC7494019					Animals; Cell Proliferation; Genes, p53; Mdm2; Myocardium; Myocytes, Cardiac; Regeneration; Tp53; Tumor Suppressor Protein p53; Zebrafish; Zebrafish Proteins; cardiomyocyte; heart regeneration; mitogen; zebrafish																																																																																																																																				
QLUJQVJ2	journalArticle	2020	Ramachandran, Sowmya; Krogh, Nicolai; Jørgensen, Tor Erik; Johansen, Steinar Daae; Nielsen, Henrik; Babiak, Igor	The shift from early to late types of ribosomes in zebrafish development involves changes at a subset of rRNA 2'-O-Me sites	RNA (New York, N.Y.)		1469-9001	10.1261/rna.076760.120		During zebrafish development, an early type of rRNA is gradually replaced by a late type that is substantially different in sequence. We applied RiboMeth-seq to rRNA from developmental stages for profiling of 2'-O-Me, to learn if changes in methylation pattern were a component of the shift. We compiled a catalog of 2'-O-Me sites and cognate box C/D guide RNAs comprising 98 high-confidence sites, including 10 sites that were not known from other vertebrates, one of which was specific to late-type rRNA. We identified a subset of sites that changed in methylation status during development and found that some of these could be explained by availability of their cognate SNORDs. Sites that changed during development were enriched in the novel sites revealed in zebrafish. We propose that the early type of rRNA is a specialized form and that its structure and ribose methylation pattern may be an adaptation to features of development, including translation of specific maternal mRNAs.	2020-12	2024-03-06 20:04:37	2024-03-06T20:04:37Z		1919-1934		12	26		RNA								eng					PubMed		PMID: 32912962 PMCID: PMC7668251					Animals; Base Sequence; Computational Biology; Methylation; Nucleic Acid Conformation; RNA, Ribosomal; RNA, Small Nucleolar; RiboMeth-seq; Ribose; Ribosomes; Zebrafish; box C/D snoRNA; ribose methylation; ribosomal RNA; zebrafish development																																																																																																																																				
TUUUP9FN	journalArticle	2020	Hughes, Gideon L.; Lones, Michael A.; Bedder, Matthew; Currie, Peter D.; Smith, Stephen L.; Pownall, Mary Elizabeth	Machine learning discriminates a movement disorder in a zebrafish model of Parkinson's disease	Disease Models & Mechanisms		1754-8411	10.1242/dmm.045815		Animal models of human disease provide an in vivo system that can reveal molecular mechanisms by which mutations cause pathology, and, moreover, have the potential to provide a valuable tool for drug development. Here, we have developed a zebrafish model of Parkinson's disease (PD) together with a novel method to screen for movement disorders in adult fish, pioneering a more efficient drug-testing route. Mutation of the PARK7 gene (which encodes DJ-1) is known to cause monogenic autosomal recessive PD in humans, and, using CRISPR/Cas9 gene editing, we generated a Dj-1 loss-of-function zebrafish with molecular hallmarks of PD. To establish whether there is a human-relevant parkinsonian phenotype in our model, we adapted proven tools used to diagnose PD in clinics and developed a novel and unbiased computational method to classify movement disorders in adult zebrafish. Using high-resolution video capture and machine learning, we extracted novel features of movement from continuous data streams and used an evolutionary algorithm to classify parkinsonian fish. This method will be widely applicable for assessing zebrafish models of human motor diseases and provide a valuable asset for the therapeutics pipeline. In addition, interrogation of RNA-seq data indicate metabolic reprogramming of brains in the absence of Dj-1, adding to growing evidence that disruption of bioenergetics is a key feature of neurodegeneration.This article has an associated First Person interview with the first author of the paper.	2020-10-16	2024-03-06 20:04:36	2024-03-06T20:04:36Z		dmm045815		10	13		Dis Model Mech								eng					PubMed		PMID: 32859696 PMCID: PMC7578351					Algorithms; Alleles; Animals; Artificial intelligence; Base Sequence; Brain; DJ-1; Disease Models, Animal; Dopaminergic Neurons; Gene Expression Profiling; Gene Targeting; Gene targeting; Machine Learning; Movement; Movement Disorders; Mutation; PARK7; Parkinson Disease; Parkinson's disease; Protein Deglycase DJ-1; Video capture; Zebrafish																																																																																																																																				
U4CLKS2W	journalArticle	2020	Hou, Yiran; Lee, Hyung Joo; Chen, Yujie; Ge, Jiaxin; Osman, Fujr Osman Ibrahim; McAdow, Anthony R.; Mokalled, Mayssa H.; Johnson, Stephen L.; Zhao, Guoyan; Wang, Ting	Cellular diversity of the regenerating caudal fin	Science Advances		2375-2548	10.1126/sciadv.aba2084		Zebrafish faithfully regenerate their caudal fin after amputation. During this process, both differentiated cells and resident progenitors migrate to the wound site and undergo lineage-restricted, programmed cellular state transitions to populate the new regenerate. Until now, systematic characterizations of cells comprising the new regenerate and molecular definitions of their state transitions have been lacking. We hereby characterize the dynamics of gene regulatory programs during fin regeneration by creating single-cell transcriptome maps of both preinjury and regenerating fin tissues at 1/2/4 days post-amputation. We consistently identified epithelial, mesenchymal, and hematopoietic populations across all stages. We found common and cell type-specific cell cycle programs associated with proliferation. In addition to defining the processes of epithelial replenishment and mesenchymal differentiation, we also identified molecular signatures that could better distinguish epithelial and mesenchymal subpopulations in fish. The insights for natural cell state transitions during regeneration point to new directions for studying this regeneration model.	2020-08	2024-03-06 20:04:36	2024-03-06T20:04:36Z		eaba2084		33	6		Sci Adv								eng					PubMed		PMID: 32851162 PMCID: PMC7423392					Animal Fins; Animals; Cell Differentiation; Regeneration; Zebrafish; Zebrafish Proteins																																																																																																																																				
